Filename,Volume_cm3,Height_m,Alpha,Method,MaxX,MaxY,MaxZ
cluster_0.txt,3.527327,0.019100,,convex,-11.620880,13.690820,-15.428160
cluster_1.txt,21.390979,0.056110,,convex,-11.751420,13.816990,-15.389800
cluster_10.txt,18.791965,0.056350,,convex,-11.577050,13.808920,-15.394680
cluster_100.txt,3.021026,0.024309,,convex,-11.236890,14.031150,-15.431850
cluster_101.txt,0.124680,0.003840,,convex,-11.562640,14.097760,-15.455130
cluster_102.txt,2.194449,0.014461,,convex,-11.420900,14.063690,-15.446810
cluster_103.txt,6.919057,0.028311,,convex,-11.474160,14.143790,-15.434110
cluster_104.txt,0.700321,0.011471,,convex,-11.547480,14.200320,-15.447370
cluster_105.txt,0.479099,0.008190,,convex,-11.522340,14.203460,-15.452780
cluster_106.txt,3.780614,0.017819,,convex,-11.441240,14.140830,-15.444000
cluster_107.txt,1.938856,0.015860,,convex,-11.404890,14.167590,-15.444080
cluster_108.txt,0.689348,0.008161,,convex,-11.460990,14.187080,-15.455210
cluster_109.txt,1.099563,0.008350,,convex,-11.438080,14.186720,-15.455170
cluster_11.txt,2.721325,0.013849,,convex,-11.611320,13.871280,-15.435660
cluster_110.txt,3.227138,0.017680,,convex,-11.474800,14.089050,-15.439040
cluster_111.txt,9.573362,0.047330,,convex,-11.570310,14.218730,-15.407890
cluster_112.txt,6.060268,0.023499,,convex,-11.347020,14.067510,-15.437210
cluster_113.txt,5.732789,0.021340,,convex,-11.381820,14.110000,-15.441420
cluster_114.txt,5.125705,0.034450,,convex,-11.342030,14.100530,-15.427040
cluster_115.txt,0.391164,0.007231,,convex,-11.298650,14.098930,-15.452250
cluster_116.txt,0.897510,0.010340,,convex,-11.297110,14.124580,-15.453310
cluster_117.txt,1.038930,0.009810,,convex,-11.262320,14.094410,-15.449960
cluster_118.txt,4.453217,0.030960,,convex,-11.246640,14.116210,-15.431240
cluster_119.txt,9.964808,0.043779,,convex,-11.342110,14.149380,-15.419150
cluster_12.txt,20.083504,0.044420,,convex,-11.535010,13.622410,-15.400430
cluster_120.txt,0.910736,0.009669,,convex,-11.396260,14.199950,-15.454950
cluster_121.txt,4.981489,0.037070,,convex,-11.303990,14.156070,-15.424410
