Filename,Volume_cm3,Height_m,Alpha,Method,MaxX,MaxY,MaxZ
cluster_291.txt,4.853558,0.030500,,convex,-2.968260,5.024610,6.994820
cluster_292.txt,0.492890,0.007970,,convex,-2.922020,5.011330,6.974680
cluster_293.txt,0.520427,0.010250,,convex,-2.888920,5.013160,6.973010
cluster_294.txt,4.706693,0.034480,,convex,-2.947400,5.121580,7.003210
cluster_295.txt,0.538993,0.007130,,convex,-2.896220,5.053930,6.974500
cluster_296.txt,6.924674,0.030490,,convex,-2.892690,5.088520,6.998780
cluster_297.txt,4.369005,0.027280,,convex,-3.152510,5.149630,7.014440
cluster_298.txt,1.194075,0.012540,,convex,-3.140600,5.163280,6.999180
cluster_299.txt,4.429542,0.021410,,convex,-3.109510,5.152320,7.005160
cluster_3.txt,12.470938,0.045460,,convex,-3.210640,4.160690,7.001630
cluster_30.txt,2.149464,0.022880,,convex,-2.843140,4.188520,6.986330
cluster_300.txt,3.076545,0.044160,,convex,-3.144020,5.197190,7.032250
cluster_301.txt,0.284522,0.011150,,convex,-3.100690,5.178320,7.002420
cluster_302.txt,2.188852,0.026180,,convex,-3.090150,5.200680,7.012800
cluster_303.txt,1.333224,0.013990,,convex,-3.075480,5.124170,6.997710
cluster_304.txt,2.788896,0.014250,,convex,-3.058670,5.161350,6.995100
cluster_305.txt,5.769488,0.023300,,convex,-3.035580,5.137170,7.000610
cluster_306.txt,1.427195,0.027330,,convex,-3.007560,5.150300,7.013090
cluster_307.txt,2.055304,0.017640,,convex,-3.048500,5.195740,6.998830
cluster_308.txt,2.782690,0.026310,,convex,-2.997450,5.205860,7.003920
cluster_309.txt,2.489212,0.023330,,convex,-3.037560,5.238880,7.001860
cluster_31.txt,3.281299,0.018340,,convex,-2.861860,4.220910,6.983230
cluster_310.txt,0.746965,0.010490,,convex,-2.961000,5.228440,6.983970
cluster_311.txt,2.915107,0.024040,,convex,-2.884920,5.223670,6.996490
cluster_312.txt,1.357829,0.014420,,convex,-2.870690,5.259470,6.989720
cluster_313.txt,4.903993,0.032650,,convex,-2.793170,4.650540,6.978580
cluster_314.txt,1.540557,0.019430,,convex,-2.762110,4.676090,6.968540
cluster_315.txt,1.215296,0.013500,,convex,-2.667830,4.633040,6.974790
