X,Y,Z
-12.4146299362,22.8879909515,-1.79610002041
-12.4723100662,22.9034900665,-1.82626998425
-12.4621295929,23.2080097198,-1.80055999756
-12.1828298569,23.7385501862,-1.8412899971
-12.2168998718,23.7435493469,-1.82607996464
-12.2561702728,23.8561096191,-1.82248997688
-12.5334701538,23.9812602997,-1.8313100338
-12.2869596481,23.922290802,-1.81861996651
-12.2077999115,23.8554897308,-1.82758998871
-12.3198699951,24.0581607819,-1.83103001118
-12.5132102966,24.0759506226,-1.85263001919
-12.5779895782,24.1971492767,-1.85379004478
-12.348279953,24.0888404846,-1.83405995369
-12.2993097305,23.1059494019,-1.82199001312
-12.1866502762,24.0953502655,-1.82439994812
-12.1487903595,23.6791992188,-1.81674003601
-12.1244497299,23.6656398773,-1.80717003345
-12.1127996445,23.7985305786,-1.82342004776
-11.8942604065,23.8335990906,-1.80601000786
-11.7898797989,23.7978401184,-1.81965005398
-11.8042602539,23.8540000916,-1.81047999859
-12.0709199905,24.0091705322,-1.82631003857
-11.8685798645,23.8814296722,-1.81076002121
-11.7551002502,23.904510498,-1.80936002731
-12.181599617,23.0617294312,-1.84390997887
-11.818189621,23.9371204376,-1.81296002865
-11.807390213,23.9753093719,-1.81323003769
-11.6684999466,23.7178993225,-1.8133699894
-11.5717897415,23.640619278,-1.81856000423
-11.4687995911,23.6569805145,-1.79627001286
-11.4543304443,23.6713409424,-1.82814002037
-11.4671602249,23.7175693512,-1.82489001751
-11.486000061,23.7510700226,-1.83004999161
-11.5331096649,23.8066806793,-1.81508004665
-11.7028598785,23.9306507111,-1.81298005581
-12.2239999771,23.1055393219,-1.83548998833
-11.6290998459,23.9810295105,-1.79867005348
-12.0911102295,24.0516700745,-1.83109998703
-12.049539566,24.1612491608,-1.83059000969
-12.1232204437,24.216709137,-1.82765996456
-12.1070995331,24.2504806519,-1.81352996826
-12.0171499252,24.2076702118,-1.81289994717
-11.9156799316,24.0771598816,-1.82846999168
-11.755109787,24.0818691254,-1.82051002979
-11.8318099976,24.1447601318,-1.81113004684
-11.7611703873,24.1388092041,-1.81770002842
-12.3408002853,23.1834506989,-1.81886005402
