X,Y,Z
-11.620880127,13.6908197403,-15.4281597137
-11.7514200211,13.8169898987,-15.3898000717
-11.577050209,13.8089199066,-15.3946800232
-11.2368898392,14.0311498642,-15.4318504333
-11.5626401901,14.0977602005,-15.4551296234
-11.4209003448,14.0636901855,-15.4468097687
-11.4741601944,14.1437902451,-15.4341096878
-11.5474796295,14.2003202438,-15.4473695755
-11.5223398209,14.2034597397,-15.4527797699
-11.4412403107,14.14083004,-15.4440002441
-11.4048900604,14.1675901413,-15.4440803528
-11.4609899521,14.1870803833,-15.4552097321
-11.438079834,14.1867198944,-15.4551696777
-11.6113195419,13.8712797165,-15.4356603622
-11.4748001099,14.089050293,-15.439040184
-11.570309639,14.2187299728,-15.4078903198
-11.3470201492,14.0675096512,-15.437210083
-11.381819725,14.1099996567,-15.4414196014
-11.3420295715,14.1005296707,-15.4270401001
-11.2986497879,14.0989303589,-15.452249527
-11.2971096039,14.1245803833,-15.4533100128
-11.2623195648,14.0944099426,-15.4499597549
-11.2466402054,14.1162099838,-15.4312400818
-11.3421096802,14.1493797302,-15.4191503525
-11.5350103378,13.6224098206,-15.4004297256
-11.3962602615,14.1999502182,-15.4549503326
-11.3039903641,14.1560697556,-15.4244098663
-11.244509697,14.157959938,-15.4497003555
-11.3095598221,14.1829299927,-15.4520196915
-11.2868700027,14.1893501282,-15.4480495453
-11.3015604019,14.2068796158,-15.4427204132
-11.2275495529,14.215379715,-15.4446496964
-11.260020256,14.2142801285,-15.4216403961
-11.1755199432,13.5672903061,-15.3886098862
-11.159119606,13.6003904343,-15.4309997559
-11.5098104477,13.6112804413,-15.4349603653
-11.0847797394,13.5815401077,-15.3973197937
-11.1857795715,13.6561203003,-15.4054803848
-11.2085199356,13.6991901398,-15.4008798599
-11.1021099091,13.667550087,-15.4175701141
-11.1008796692,13.6949100494,-15.4337396622
-11.0076799393,13.5898199081,-15.4164896011
-10.9491300583,13.5952301025,-15.4200201035
-11.0286502838,13.6396503448,-15.4290504456
-11.01101017,13.675909996,-15.4313697815
-10.9788103104,13.6873397827,-15.4366397858
-11.4856300354,13.5805902481,-15.4189195633
-10.9538898468,13.653719902,-15.4254102707
-10.9470701218,13.6864900589,-15.4296598434
-11.1440496445,13.7122297287,-15.4309101105
-11.1682300568,13.7278995514,-15.4344501495
-11.1006002426,13.7203598022,-15.4391403198
-11.1203899384,13.7457399368,-15.4375200272
-11.1426296234,13.7764997482,-15.4249696732
-11.0811300278,13.7771501541,-15.4057798386
-11.2076797485,13.8221502304,-15.4312400818
-11.1673698425,13.7992801666,-15.4395704269
-11.4704704285,13.6135597229,-15.4322395325
-11.1448602676,13.8053197861,-15.4358196259
-11.1830301285,13.8524904251,-15.4207496643
-11.0767498016,13.8114700317,-15.4376802444
-11.1345100403,13.859459877,-15.439909935
-11.1025800705,13.8592300415,-15.4160804749
-11.0798397064,13.8498401642,-15.4449901581
-11.01583004,13.736749649,-15.4317398071
-10.9839496613,13.725060463,-15.4371299744
-10.9836797714,13.7521896362,-15.4250497818
-10.9565696716,13.7369298935,-15.4283504486
-11.557559967,13.6612901688,-15.4042301178
-11.0034303665,13.8046398163,-15.4097795486
-11.0213499069,13.8661499023,-15.4291000366
-10.9688796997,13.8233299255,-15.4340200424
-10.9332704544,13.8414001465,-15.4327297211
-10.9022397995,13.8733596802,-15.424779892
-10.8789396286,13.671959877,-15.4332704544
-10.8367595673,13.6675195694,-15.4337997437
-10.856470108,13.6899404526,-15.4242801666
-10.8837099075,13.7058401108,-15.4263801575
-10.8323097229,13.7228097916,-15.4201097488
-11.402009964,13.6243600845,-15.3812198639
-10.8104801178,13.7652301788,-15.4344902039
-10.7809696198,13.7656803131,-15.4117603302
-10.7452697754,13.7676401138,-15.4255895615
-10.82929039,13.8183498383,-15.4324398041
-10.800450325,13.8294296265,-15.4409799576
-10.8223304749,13.8408699036,-15.4418201447
-10.757229805,13.7961101532,-15.4340295792
-10.7729902267,13.8793201447,-15.4219799042
-10.7594099045,13.8468799591,-15.4420099258
-10.7284803391,13.8301496506,-15.439789772
-11.3114004135,13.5589895248,-15.4176301956
-10.6976003647,13.8576002121,-15.3870201111
-11.0997800827,13.9870595932,-15.4529895782
-11.2002296448,13.8919000626,-15.4406900406
-11.1553697586,13.8929700851,-15.425160408
-11.1866798401,13.9231395721,-15.4139003754
-11.1481103897,13.9463701248,-15.4289503098
-11.0816602707,13.8892097473,-15.4436397552
-11.1103601456,13.9192399979,-15.433380127
-11.0806903839,13.9450597763,-15.4274702072
-11.2072696686,13.9693498611,-15.427479744
-11.2674102783,13.540769577,-15.4042901993
-11.1522502899,13.9966697693,-15.4449396133
-11.209569931,14.0216798782,-15.4187002182
-11.1633901596,14.0382099152,-15.4311504364
-11.1250896454,14.0151596069,-15.444849968
-11.0426197052,14.0329799652,-15.4520797729
-11.0364303589,13.9001398087,-15.440779686
-11.0534296036,13.9271697998,-15.4441699982
-11.0039196014,14.0252199173,-15.4426603317
-10.8782596588,14.006649971,-15.3606796265
-10.9359998703,14.0245800018,-15.4378004074
-11.6769895554,13.7396097183,-15.4340801239
-11.2244300842,13.5630397797,-15.4110097885
