X,Y,Z
-17.4969997406,20.5391101837,16.1902809143
-17.4655990601,20.5299701691,16.1992797852
-17.471780777,20.6445598602,16.2036590576
-17.5769500732,20.7346992493,16.1742801666
-16.9727306366,21.2991905212,16.165769577
-16.934009552,21.3195400238,16.201669693
-16.9177093506,21.3302402496,16.1613998413
-16.8914794922,21.32213974,16.1843795776
-16.9506206512,21.351360321,16.1814308167
-16.9818096161,21.3808097839,16.1631202698
-16.8902301788,21.353509903,16.1674308777
-17.0144500732,21.4099693298,16.1811695099
-17.0003299713,21.4307804108,16.1648292542
-17.0488891602,21.4811592102,16.1623497009
-17.6248893738,20.8274593353,16.1702899933
-17.0226192474,21.4365501404,16.1679191589
-16.9851894379,21.4282493591,16.1712207794
-17.0194606781,21.4791507721,16.158700943
-16.944480896,21.4150390625,16.1991195679
-16.8996505737,21.3925895691,16.1744804382
-16.9211502075,21.4192409515,16.1585197449
-16.9046497345,21.4139709473,16.1782093048
-16.9535598755,21.4385700226,16.2025108337
-16.947429657,21.4698390961,16.165309906
-16.9168605804,21.4698104858,16.171880722
-17.5809192657,20.8248195648,16.1711292267
-16.8683204651,21.3070697784,16.1954994202
-16.8439292908,21.2926006317,16.1586208344
-16.8483905792,21.3247203827,16.1617298126
-16.8303699493,21.3321704865,16.1694393158
-16.8508796692,21.3509197235,16.1725997925
-16.8764705658,21.3717594147,16.1889095306
-16.8019504547,21.3508205414,16.2203598022
-16.7938404083,21.3340492249,16.1727600098
-16.7663192749,21.3063297272,16.1589794159
-16.7724609375,21.3230800629,16.1646595001
-17.5341396332,20.7623901367,16.1723003387
-16.7336502075,21.2952594757,16.1719093323
-16.732049942,21.3311195374,16.1976890564
-16.7023792267,21.3210792542,16.1648902893
-16.7762203217,21.3611392975,16.1543693542
-16.7245292664,21.3539905548,16.1749000549
-16.858089447,21.4031600952,16.1723098755
-16.8292198181,21.4126091003,16.1589202881
-16.804479599,21.4166908264,16.1739501953
-16.8651199341,21.4486503601,16.1609802246
-16.819480896,21.4396495819,16.1619091034
-17.502450943,20.7350692749,16.1888599396
-16.814540863,21.4556503296,16.1898097992
-16.8389091492,21.4697208405,16.1653804779
-16.7820606232,21.3977794647,16.1571807861
-16.7146205902,21.4094390869,16.1606197357
-16.7787399292,21.4342708588,16.160320282
-16.7920207977,21.4817504883,16.1695098877
-16.77684021,21.4608192444,16.163690567
-16.7415904999,21.4370803833,16.1596603394
-16.7129096985,21.478679657,16.2032909393
-16.6907196045,21.1382598877,16.1745300293
-17.4676609039,20.772310257,16.1740493774
-16.6644096375,21.1533603668,16.1662502289
